,image,label
0,"[[[40 46 46]
  [38 38 40]
  [34 24 32]
  ...
  [ 0  0  2]
  [ 1  0  5]
  [ 0  0  5]]

 [[18 24 22]
  [29 29 29]
  [34 25 30]
  ...
  [ 0  0  2]
  [ 1  0  5]
  [ 0  0  5]]

 [[ 2  9  2]
  [23 22 20]
  [32 23 26]
  ...
  [ 0  0  2]
  [ 1  1  3]
  [ 0  0  4]]

 ...

 [[26 26 28]
  [28 21 28]
  [34 18 28]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[16 16 18]
  [25 18 25]
  [38 22 33]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 9  9 11]
  [22 15 22]
  [39 23 34]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",1
1,"[[[14 22  9]
  [31 28 21]
  [48 34 34]
  ...
  [ 1  1  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[34 42 31]
  [37 34 29]
  [40 25 28]
  ...
  [ 1  1  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[42 49 42]
  [39 35 34]
  [36 21 26]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[19 26 19]
  [31 27 26]
  [43 28 33]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[26 33 26]
  [33 29 28]
  [38 23 28]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[28 35 28]
  [31 27 26]
  [34 19 24]
  ...
  [ 0  0  0]
  [ 1  1  1]
  [ 0  0  0]]]",1
2,"[[[49 39 50]
  [52 36 49]
  [50 26 40]
  ...
  [ 0  0  4]
  [ 1  0  6]
  [ 1  0  6]]

 [[28 18 29]
  [39 23 34]
  [47 23 36]
  ...
  [ 0  0  4]
  [ 1  0  5]
  [ 1  0  6]]

 [[19 12 20]
  [36 20 31]
  [48 26 38]
  ...
  [ 0  0  4]
  [ 0  0  4]
  [ 0  0  4]]

 ...

 [[ 9 16  8]
  [23 19 16]
  [38 23 28]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 3 11  0]
  [21 18 13]
  [40 25 28]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 8 16  5]
  [25 22 17]
  [41 27 27]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",1
3,"[[[14 25 21]
  [29 29 27]
  [44 34 33]
  ...
  [ 0  0  2]
  [ 0  0  2]
  [ 0  0  2]]

 [[32 43 37]
  [33 33 31]
  [35 25 24]
  ...
  [ 0  0  2]
  [ 0  0  2]
  [ 0  0  2]]

 [[33 44 36]
  [32 33 28]
  [32 22 21]
  ...
  [ 0  0  2]
  [ 0  0  2]
  [ 0  0  2]]

 ...

 [[15 21 17]
  [25 21 20]
  [37 22 29]
  ...
  [ 0  0  2]
  [ 0  0  2]
  [ 0  0  2]]

 [[21 27 23]
  [29 25 26]
  [38 22 32]
  ...
  [ 0  0  2]
  [ 0  0  2]
  [ 0  0  2]]

 [[30 36 34]
  [35 30 34]
  [38 22 32]
  ...
  [ 0  0  2]
  [ 0  0  2]
  [ 0  0  2]]]",1
4,"[[[28 41 24]
  [37 40 29]
  [40 31 26]
  ...
  [ 0  0  2]
  [ 1  0  8]
  [ 1  0 13]]

 [[14 26 12]
  [31 33 22]
  [41 31 29]
  ...
  [ 0  0  2]
  [ 1  0  8]
  [ 1  0 12]]

 [[14 25 11]
  [31 32 24]
  [43 33 32]
  ...
  [ 0  1  0]
  [ 1  0  5]
  [ 1  0  8]]

 ...

 [[18 23 26]
  [33 28 34]
  [41 25 35]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[10 15 18]
  [28 23 29]
  [40 24 34]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 5 10 13]
  [23 18 24]
  [36 20 30]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",1
5,"[[[21 21 23]
  [35 26 31]
  [48 31 37]
  ...
  [ 0  0  2]
  [ 0  0  0]
  [ 0  0  0]]

 [[41 41 43]
  [38 32 36]
  [37 22 27]
  ...
  [ 0  0  2]
  [ 0  0  0]
  [ 0  0  0]]

 [[44 45 47]
  [38 32 34]
  [32 20 24]
  ...
  [ 0  0  2]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[17 18 13]
  [30 22 20]
  [44 26 26]
  ...
  [ 0  0  2]
  [ 1  1  3]
  [ 0  0  0]]

 [[26 27 21]
  [33 25 22]
  [41 23 23]
  ...
  [ 0  0  2]
  [ 1  1  3]
  [ 0  0  0]]

 [[37 38 32]
  [37 29 26]
  [37 19 17]
  ...
  [ 0  0  2]
  [ 1  1  3]
  [ 0  0  0]]]",1
6,"[[[27 35 37]
  [32 30 31]
  [36 25 23]
  ...
  [ 1  1  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[18 27 26]
  [28 26 27]
  [39 28 26]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[16 25 22]
  [27 25 26]
  [40 28 28]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[17 24 16]
  [30 26 23]
  [36 21 26]
  ...
  [ 1  1  3]
  [ 0  0  2]
  [ 0  0  2]]

 [[10 17  9]
  [26 22 19]
  [36 21 24]
  ...
  [ 1  1  3]
  [ 0  0  2]
  [ 0  0  2]]

 [[ 4 11  3]
  [23 19 16]
  [36 21 24]
  ...
  [ 1  1  3]
  [ 0  0  2]
  [ 0  0  2]]]",1
7,"[[[16 19 28]
  [30 24 38]
  [47 28 50]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[36 41 45]
  [40 34 46]
  [42 25 43]
  ...
  [ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 [[40 46 46]
  [39 37 42]
  [41 25 38]
  ...
  [ 0  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 ...

 [[22 25 30]
  [29 24 31]
  [36 23 33]
  ...
  [ 0  0  2]
  [ 0  0  0]
  [ 0  1  0]]

 [[27 30 35]
  [30 25 32]
  [34 21 31]
  ...
  [ 0  0  2]
  [ 0  0  0]
  [ 0  1  0]]

 [[32 35 40]
  [32 27 34]
  [32 20 30]
  ...
  [ 0  0  2]
  [ 0  0  0]
  [ 0  1  0]]]",1
8,"[[[36 42 40]
  [37 32 36]
  [36 20 30]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 [[21 27 25]
  [34 29 33]
  [47 31 41]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 [[18 24 20]
  [33 29 30]
  [49 33 43]
  ...
  [ 1  1  1]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[25 24 30]
  [31 21 30]
  [40 20 32]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[17 16 24]
  [29 19 30]
  [44 24 36]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[14 13 21]
  [30 20 31]
  [48 28 40]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",1
9,"[[[16 21 17]
  [31 29 30]
  [47 36 44]
  ...
  [ 0  0  0]
  [ 0  0  2]
  [ 0  0  2]]

 [[38 43 39]
  [37 35 36]
  [37 26 34]
  ...
  [ 0  0  0]
  [ 0  0  2]
  [ 0  0  2]]

 [[41 46 42]
  [36 34 35]
  [34 23 31]
  ...
  [ 0  0  0]
  [ 0  0  2]
  [ 0  0  2]]

 ...

 [[18 23 26]
  [24 21 28]
  [36 20 31]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[24 29 33]
  [28 25 32]
  [35 19 30]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[32 37 41]
  [32 29 36]
  [35 19 30]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]]",1
